0.05,0.01
1.049,0.0299
2.048,0.0316
3.047,0.031
4.046,0.029
5.045,0.0264625
6.044,0.02419
7.043,0.022034
8.042,0.01976333
9.041,0.01773167
10.04,0.01586
11.039,0.014222
12.038,0.012762
13.037,0.011363
14.036,0.010264
15.035,0.009205
16.034,0.008316
17.033,0.007467
18.032,0.0066756
19.031,0.0059976
20.03,0.005396
21.029,0.0047984
22.028,0.0042688
23.027,0.00381055
24.026,0.0034118
25.025,0.0030225
26.024,0.0027056
27.023,0.00240425
28.022,0.0021556
29.021,0.0019158
30.02,0.001706
31.019,0.00153715
32.018,0.0013664
33.017,0.00122245
34.016,0.0010884
35.015,0.00097905
36.014,0.00087088
37.013,0.00077557
38.012,0.00069553
39.011,0.00061897
40.01,0.00055443
41.009,0.00049555
42.008,0.00044196
43.007,0.00039703
44.006,0.00035576
45.005,0.00031815
46.004,0.0002832
47.003,0.00025418
48.002,0.00022595
49.001,0.00020298
50,0.000181
